,TransactionID,id_01,id_02,id_03,id_04,id_05,id_06,id_07,id_08,id_09,id_10,id_11,id_12,id_13,id_14,id_15,id_16,id_17,id_18,id_19,id_20,id_21,id_22,id_23,id_24,id_25,id_26,id_27,id_28,id_29,id_30,id_31,id_32,id_33,id_34,id_35,id_36,id_37,id_38,DeviceType,DeviceInfo
24762,3055570,-5.0,27501.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,Found,52.0,-360.0,Found,Found,166.0,,312.0,333.0,,,,,,,,Found,Found,Windows 7,chrome 63.0,24.0,1280x1024,match_status:2,T,F,T,T,desktop,Windows
6512,3011871,-5.0,101293.0,,,0.0,-31.0,,,5.0,0.0,95.6500015258789,NotFound,49.0,0.0,New,NotFound,121.0,,368.0,142.0,,,,,,,,Found,Found,Mac OS X 10_10_5,safari generic,24.0,1280x800,match_status:2,T,F,F,T,desktop,MacOS
43950,3091412,-10.0,45345.0,0.0,0.0,0.0,-5.0,,,0.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,,176.0,507.0,,,,,,,,Found,Found,,chrome 63.0,,,,F,F,T,T,desktop,
124614,3483682,-10.0,96979.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,,271.0,507.0,,,,,,,,Found,Found,,chrome 65.0,,,,F,F,T,F,desktop,Windows
47364,3096892,-5.0,157116.0,,,0.0,0.0,,,,,100.0,Found,49.0,-360.0,New,NotFound,166.0,,312.0,214.0,,,,,,,,New,NotFound,iOS 11.2.1,mobile safari 11.0,32.0,2048x1536,match_status:1,T,F,F,F,mobile,iOS Device
89067,3287043,-5.0,277533.0,,,-2.0,-100.0,,,,,100.0,NotFound,33.0,,New,NotFound,225.0,15.0,417.0,507.0,,,,,,,,New,NotFound,,mobile safari generic,,,,F,F,T,F,mobile,
17567,3039703,-15.0,441449.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,20.0,,Found,Found,225.0,,254.0,507.0,,,,,,,,Found,Found,,chrome 63.0 for android,,,,F,F,T,T,mobile,E2306 Build/26.1.A.3.111
139819,3553707,-5.0,203380.0,0.0,0.0,0.0,-5.0,,,0.0,0.0,100.0,NotFound,52.0,-360.0,Found,Found,225.0,,271.0,507.0,,,,,,,,Found,Found,,ie 11.0 for tablet,,,,F,T,T,F,desktop,Trident/7.0
102780,3369233,-5.0,50804.0,,,0.0,-33.0,,,,,100.0,NotFound,52.0,-300.0,New,NotFound,166.0,,193.0,391.0,,,,,,,,New,NotFound,Windows 7,chrome 64.0,24.0,1920x1080,match_status:2,T,F,T,F,desktop,Windows
6636,3012224,-5.0,54089.0,,,1.0,-5.0,,,,,100.0,NotFound,49.0,-300.0,New,NotFound,166.0,15.0,352.0,549.0,,,,,,,,New,NotFound,iOS 11.1.2,mobile safari 11.0,32.0,1334x750,match_status:1,T,F,F,T,mobile,iOS Device
73078,3203851,-15.0,289077.0,,,0.0,0.0,,,,,100.0,NotFound,49.0,,New,NotFound,225.0,,427.0,507.0,,,,,,,,New,NotFound,,chrome generic,,,,F,F,T,F,mobile,Moto G (5) Build/NPP25.137-93
115361,3431926,-5.0,72425.0,0.0,0.0,17.0,-31.0,,,0.0,0.0,100.0,NotFound,64.0,-300.0,Found,Found,166.0,15.0,321.0,391.0,,,,,,,,Found,Found,iOS 11.3.0,mobile safari generic,32.0,2208x1242,match_status:1,T,F,F,T,mobile,iOS Device
58617,3123196,0.0,89492.0,,,0.0,0.0,,,,,100.0,NotFound,20.0,,New,NotFound,225.0,,254.0,507.0,,,,,,,,New,NotFound,,chrome 63.0 for android,,,,F,F,T,T,mobile,SM-G955U Build/NRD90M
91359,3300713,-5.0,235759.0,,,0.0,0.0,,,,,100.0,NotFound,33.0,,New,NotFound,225.0,,153.0,325.0,,,,,,,,New,NotFound,,chrome 64.0 for android,,,,F,F,T,F,mobile,LG-K580 Build/MRA58K
4096,3004314,-5.0,78902.0,0.0,0.0,12.0,-51.0,,,0.0,0.0,100.0,NotFound,52.0,-360.0,Found,Found,166.0,12.0,622.0,214.0,,,,,,,,Found,Found,Windows 7,chrome 62.0,24.0,1680x1050,match_status:2,T,F,T,T,desktop,Windows
143455,3573266,-5.0,101482.0,,,0.0,0.0,,,,,100.0,NotFound,27.0,-300.0,New,NotFound,166.0,,622.0,277.0,,,,,,,,New,NotFound,Mac OS X 10_13_3,safari 11.0,24.0,2880x1800,match_status:2,T,F,F,F,desktop,MacOS
65797,3160875,-20.0,27125.0,0.0,0.0,2.0,-1.0,,,3.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,,607.0,610.0,,,,,,,,Found,Found,,chrome 63.0,,,,F,F,T,F,desktop,Windows
138057,3546715,0.0,139692.0,,,0.0,-1.0,,,,,100.0,NotFound,,-480.0,New,NotFound,166.0,,193.0,144.0,,,,,,,,New,NotFound,Mac OS X 10_13_4,chrome 66.0,24.0,2560x1600,match_status:2,T,F,T,T,desktop,MacOS
110906,3405410,0.0,64404.0,,,1.0,0.0,,,,,100.0,NotFound,,-480.0,New,NotFound,166.0,,529.0,222.0,,,,,,,,New,NotFound,Mac OS X 10_12_6,safari generic,24.0,2880x1800,match_status:2,T,F,T,T,desktop,MacOS
45582,3094115,-5.0,72671.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,49.0,-360.0,Found,Found,166.0,,621.0,611.0,,,,,,,,Found,Found,iOS 11.0.2,mobile safari 11.0,32.0,2048x1536,match_status:1,T,F,T,F,mobile,iOS Device
4318,3005030,-5.0,137932.0,,,1.0,-6.0,,,,,100.0,NotFound,52.0,-300.0,New,NotFound,166.0,,193.0,600.0,,,,,,,,New,NotFound,Windows 10,chrome 62.0,24.0,1624x1080,match_status:2,T,F,T,T,desktop,Windows
47237,3096683,-5.0,73542.0,,,0.0,0.0,,,,,100.0,NotFound,49.0,-480.0,New,NotFound,166.0,,529.0,222.0,,,,,,,,New,NotFound,Mac OS X 10_10_5,safari generic,24.0,2560x1440,match_status:2,T,F,F,T,desktop,MacOS
87969,3281559,-20.0,349266.0,,,0.0,0.0,,,0.0,0.0,95.16000366210938,NotFound,33.0,,Unknown,,225.0,,266.0,325.0,,,,,,,,Found,Found,,safari generic,,,,F,F,F,F,desktop,
97551,3342681,-20.0,275398.0,,,0.0,0.0,,,,,100.0,NotFound,33.0,,Unknown,,225.0,,153.0,563.0,,,,,,,,New,NotFound,,mobile safari generic,,,,F,F,F,F,mobile,
133658,3527420,-5.0,58987.0,0.0,0.0,0.0,-1.0,,,0.0,0.0,100.0,NotFound,52.0,-300.0,Found,Found,166.0,15.0,542.0,439.0,,,,,,,,Found,Found,Windows 8.1,chrome 66.0,24.0,1920x1080,match_status:2,T,F,T,F,desktop,Windows
52099,3103565,-20.0,558287.0,,,0.0,0.0,,,,,100.0,NotFound,49.0,,Unknown,,225.0,,254.0,507.0,,,,,,,,New,NotFound,,mobile safari 11.0,,,,F,F,F,T,mobile,
61915,3139105,-5.0,82890.0,,,0.0,0.0,,,,,100.0,NotFound,49.0,-360.0,New,NotFound,166.0,,542.0,611.0,,,,,,,,New,NotFound,iOS 11.2.1,mobile safari 11.0,32.0,2436x1125,,T,F,F,T,mobile,iOS Device
7693,3015150,0.0,47560.0,0.0,0.0,2.0,0.0,,,0.0,0.0,100.0,Found,,-360.0,Found,Found,166.0,,548.0,100.0,,,,,,,,Found,Found,Mac OS X 10_13_1,safari generic,24.0,2560x1600,match_status:2,T,F,T,T,desktop,MacOS
72840,3202875,-5.0,297252.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,,526.0,507.0,,,,,,,,Found,Found,,chrome 63.0,,,,F,F,T,F,desktop,Windows
76370,3222397,-20.0,367452.0,,,0.0,0.0,,,,,100.0,NotFound,49.0,,Unknown,,225.0,,266.0,325.0,,,,,,,,New,NotFound,,mobile safari generic,,,,F,F,F,F,mobile,
10637,3023128,-90.0,89779.0,,,,,-1.0,-21.0,,,100.0,NotFound,49.0,,Unknown,,,,,,657.0,41.0,IP_PROXY:ANONYMOUS,15.0,161.0,159.0,Found,New,NotFound,,mobile safari 11.0,,,,F,F,F,T,mobile,
99076,3351536,0.0,2485.0,,,0.0,0.0,,,,,100.0,Found,,-300.0,New,NotFound,166.0,,129.0,161.0,,,,,,,,New,NotFound,Windows 7,ie 11.0 for desktop,24.0,1920x1080,match_status:2,T,T,T,T,desktop,Trident/7.0
93507,3317096,-10.0,363068.0,,,1.0,-25.0,,,,,100.0,NotFound,33.0,,New,NotFound,225.0,13.0,242.0,507.0,,,,,,,,New,NotFound,,chrome 64.0 for android,,,,F,F,T,F,mobile,X900+
51967,3103330,-5.0,50817.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,-480.0,Found,Found,166.0,,307.0,222.0,,,,,,,,Found,Found,Windows 8.1,chrome 63.0,24.0,1366x768,match_status:2,T,F,T,T,desktop,Windows
114769,3428361,0.0,150873.0,,,0.0,0.0,,,0.0,0.0,96.5500030517578,NotFound,,-480.0,New,NotFound,166.0,,621.0,394.0,,,,,,,,Found,Found,Mac OS X 10_12_6,safari generic,24.0,2880x1800,match_status:2,T,F,T,T,desktop,MacOS
65506,3159324,-45.0,353805.0,0.0,0.0,2.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,-480.0,Found,Found,166.0,13.0,193.0,144.0,,,,,,,,Found,Found,Windows 10,firefox 57.0,24.0,2560x1440,match_status:2,T,F,T,T,desktop,Windows
64919,3154755,-5.0,134905.0,,,0.0,-6.0,,,,,100.0,NotFound,52.0,-300.0,New,NotFound,166.0,,100.0,368.0,,,,,,,,New,NotFound,Windows 7,chrome 63.0,24.0,1920x1080,match_status:2,T,F,T,F,desktop,Windows
32649,3070943,-5.0,89677.0,0.0,0.0,9.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,-300.0,Found,Found,166.0,13.0,395.0,100.0,,,,,,,,Found,Found,Windows 7,chrome 63.0,24.0,1920x1080,match_status:2,T,F,T,F,desktop,Windows
46796,3096032,-10.0,133226.0,0.0,0.0,0.0,0.0,,,0.0,-8.0,100.0,NotFound,52.0,,Found,Found,225.0,,266.0,507.0,,,,,,,,Found,Found,,chrome 63.0,,,,F,F,T,T,desktop,Windows
128329,3506114,-10.0,145498.0,,,-5.0,-100.0,,,,,100.0,NotFound,64.0,,New,NotFound,225.0,13.0,266.0,595.0,,,,,,,,New,NotFound,,firefox 59.0,,,,F,F,T,F,desktop,rv:59.0
97994,3345226,-10.0,303857.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,33.0,,Found,Found,225.0,,457.0,561.0,,,,,,,,Found,Found,,chrome 64.0,,,,F,F,T,F,desktop,
17635,3039844,0.0,127527.0,,,0.0,0.0,,,,,100.0,NotFound,,-480.0,New,NotFound,166.0,,312.0,222.0,,,,,,,,New,NotFound,Windows XP,firefox 52.0,24.0,1280x800,match_status:2,T,T,T,T,desktop,Windows
85447,3268071,-20.0,523592.0,0.0,0.0,4.0,-100.0,,,0.0,0.0,100.0,NotFound,33.0,,Found,Found,225.0,15.0,417.0,507.0,,,,,,,,Found,Found,,samsung browser 6.2,,,,F,F,T,F,mobile,SAMSUNG SM-G935F Build/NRD90M
39623,3083484,-5.0,93245.0,0.0,0.0,0.0,-8.0,,,0.0,0.0,100.0,Found,49.0,-420.0,Found,Found,166.0,15.0,352.0,225.0,,,,,,,,Found,Found,iOS 11.2.1,mobile safari generic,32.0,1334x750,match_status:2,T,F,F,T,mobile,iOS Device
143489,3573403,-5.0,84086.0,,,0.0,0.0,,,,,100.0,NotFound,52.0,-360.0,New,NotFound,166.0,,529.0,214.0,,,,,,,,New,NotFound,Windows 7,ie 11.0 for desktop,24.0,1366x768,match_status:2,T,F,T,T,desktop,Trident/7.0
24170,3054317,0.0,124814.0,,,3.0,-9.0,,,,,100.0,NotFound,,-300.0,New,NotFound,166.0,15.0,296.0,549.0,,,,,,,,New,NotFound,iOS 11.2.0,mobile safari 11.0,32.0,1334x750,match_status:1,T,F,T,T,mobile,iOS Device
106417,3385996,-5.0,43847.0,,,0.0,0.0,,,,,100.0,Found,52.0,-300.0,New,NotFound,166.0,,193.0,484.0,,,,,,,,New,NotFound,Windows 7,chrome 65.0,24.0,1920x1080,match_status:2,T,F,T,T,desktop,Windows
41634,3087320,-5.0,144299.0,,,14.0,-19.0,,,,,100.0,NotFound,49.0,-300.0,New,NotFound,166.0,13.0,622.0,600.0,,,,,,,,New,NotFound,Mac OS X 10_12_5,safari generic,24.0,1440x900,match_status:2,T,F,F,F,desktop,MacOS
76255,3221743,-5.0,194047.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,,427.0,325.0,,,,,,,,Found,Found,,chrome 63.0,,,,F,F,T,F,desktop,Windows
9865,3021034,0.0,25127.0,3.0,0.0,3.0,0.0,,,3.0,0.0,100.0,NotFound,,-360.0,Found,Found,166.0,,216.0,611.0,,,,,,,,Found,Found,Windows 7,ie 11.0 for desktop,24.0,1600x900,match_status:2,T,T,T,T,desktop,Trident/7.0
27171,3060376,0.0,834678.0,,,17.0,-7.0,,,,,100.0,NotFound,,-300.0,New,NotFound,166.0,13.0,410.0,600.0,,,,,,,,New,NotFound,Windows 7,ie 11.0 for desktop,24.0,1920x1200,match_status:2,T,T,T,T,desktop,Trident/7.0
107439,3390124,-5.0,66998.0,,,0.0,0.0,,,,,100.0,NotFound,64.0,-300.0,New,NotFound,166.0,18.0,312.0,277.0,,,,,,,,New,NotFound,Mac OS X 10_11_6,safari generic,24.0,1280x1024,match_status:2,T,F,F,T,desktop,MacOS
39565,3083377,-20.0,322362.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,,266.0,325.0,,,,,,,,Found,Found,,chrome 63.0,,,,F,F,T,T,desktop,Windows
62291,3140947,-10.0,413829.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,,266.0,507.0,,,,,,,,Found,Found,,chrome 63.0,,,,F,F,T,T,desktop,Windows
94030,3320617,-45.0,187401.0,0.0,0.0,-2.0,-19.0,,,0.0,0.0,100.0,NotFound,33.0,,Found,Found,225.0,15.0,567.0,507.0,,,,,,,,Found,Found,,chrome 63.0 for android,,,,F,F,T,F,mobile,HUAWEI VNS-L23 Build/HUAWEIVNS-L23
69272,3182759,-10.0,506743.0,0.0,0.0,4.0,0.0,,,0.0,0.0,100.0,NotFound,49.0,,Found,Found,225.0,,266.0,305.0,,,,,,,,Found,Found,,chrome 63.0 for android,,,,F,F,T,F,mobile,SM-J500FN Build/MMB29M
24107,3054204,-5.0,92513.0,,,0.0,0.0,,,,,100.0,NotFound,49.0,-300.0,New,NotFound,166.0,,542.0,600.0,,,,,,,,New,NotFound,iOS 11.1.2,mobile safari 11.0,32.0,2732x2048,match_status:1,T,F,F,F,mobile,iOS Device
96393,3335343,-5.0,172273.0,0.0,0.0,0.0,-32.0,,,0.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,,585.0,507.0,,,,,,,,Found,Found,,chrome 63.0,,,,F,F,T,F,desktop,Windows
106746,3387478,-35.0,116087.0,,,-9.0,-100.0,,,,,100.0,NotFound,62.0,,Unknown,,225.0,15.0,266.0,595.0,,,,,,,,New,NotFound,,chrome 65.0,,,,F,F,F,F,desktop,
46833,3096076,-5.0,104162.0,,,0.0,0.0,,,,,100.0,NotFound,52.0,-480.0,Found,NotFound,166.0,,621.0,222.0,,,,,,,,Found,NotFound,Windows 10,chrome 63.0,24.0,1920x1080,match_status:2,T,F,T,F,desktop,Windows
44482,3092411,-5.0,299158.0,,,3.0,0.0,,,,,100.0,NotFound,49.0,-360.0,New,NotFound,166.0,,410.0,186.0,,,,,,,,New,NotFound,iOS 11.1.2,mobile safari 11.0,32.0,1334x750,match_status:1,T,F,F,F,mobile,iOS Device
103360,3372702,-15.0,,,,,,,,,,,NotFound,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
59076,3125141,-5.0,131709.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,,153.0,563.0,,,,,,,,Found,Found,,chrome 63.0,,,,F,F,T,T,desktop,Windows
60202,3130183,0.0,38001.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,,-300.0,Found,Found,166.0,15.0,542.0,111.0,,,,,,,,Found,Found,Mac OS X 10_13_2,chrome 63.0,24.0,2880x1800,match_status:2,T,F,T,T,desktop,MacOS
91800,3303433,-5.0,84755.0,,,0.0,0.0,,,,,100.0,NotFound,33.0,-420.0,New,NotFound,166.0,,621.0,225.0,,,,,,,,New,NotFound,iOS 11.2.6,mobile safari generic,32.0,1334x750,match_status:2,T,F,F,F,mobile,iOS Device
68323,3177085,-5.0,140927.0,,,16.0,-53.0,16.0,-100.0,,,100.0,NotFound,55.0,-480.0,New,NotFound,166.0,13.0,122.0,222.0,252.0,14.0,IP_PROXY:TRANSPARENT,15.0,321.0,161.0,Found,New,NotFound,iOS 11.2.2,mobile safari 11.0,32.0,2208x1242,match_status:1,T,F,T,T,mobile,iOS Device
110630,3404271,-20.0,739514.0,,,,,,,,,100.0,NotFound,64.0,,Unknown,,225.0,,266.0,565.0,,,,,,,,New,NotFound,,mobile safari generic,,,,F,F,F,F,mobile,
44519,3092477,-5.0,44790.0,,,0.0,-1.0,,,,,100.0,NotFound,52.0,-360.0,New,NotFound,166.0,,312.0,214.0,,,,,,,,New,NotFound,Windows 7,chrome 63.0,24.0,1366x768,match_status:2,T,F,T,F,desktop,Windows
26778,3059622,-45.0,75970.0,,,,,14.0,-39.0,1.0,-1.0,96.63999938964844,NotFound,52.0,-420.0,New,NotFound,166.0,,238.0,222.0,622.0,14.0,IP_PROXY:TRANSPARENT,11.0,180.0,142.0,Found,Found,Found,Windows 10,chrome 63.0,24.0,1920x1080,match_status:2,T,F,T,F,desktop,Windows
25020,3056176,0.0,24654.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,,-300.0,Found,Found,166.0,15.0,630.0,489.0,,,,,,,,Found,Found,Mac OS X 10_13_2,chrome 63.0,24.0,1440x900,match_status:2,T,F,T,T,desktop,MacOS
107802,3391669,-5.0,174326.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,-300.0,Found,Found,166.0,,144.0,161.0,,,,,,,,Found,Found,Windows 8.1,chrome 65.0,24.0,1920x1080,match_status:2,T,F,T,F,desktop,Windows
130654,3517758,-5.0,209444.0,,,0.0,0.0,,,,,100.0,NotFound,64.0,-300.0,New,NotFound,166.0,,542.0,597.0,,,,,,,,New,NotFound,iOS 11.3.0,mobile safari 11.0,32.0,2048x1536,match_status:1,T,F,F,T,mobile,iOS Device
35764,3076635,0.0,144915.0,0.0,0.0,-6.0,-22.0,,,0.0,0.0,100.0,NotFound,43.0,,Found,Found,225.0,15.0,417.0,507.0,,,,,,,,Found,Found,,chrome 63.0 for android,,,,F,F,T,T,mobile,SAMSUNG-SM-G930A Build/NRD90M
137406,3545090,-5.0,118714.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,,153.0,325.0,,,,,,,,Found,Found,,chrome 66.0,,,,F,F,T,F,desktop,Windows
98174,3346506,-20.0,227652.0,,,0.0,-6.0,,,,,100.0,NotFound,33.0,,Unknown,,225.0,,153.0,563.0,,,,,,,,New,NotFound,,mobile safari generic,,,,F,F,F,F,mobile,
46969,3096262,-5.0,33902.0,,,0.0,0.0,,,,,100.0,NotFound,49.0,-300.0,New,NotFound,166.0,,542.0,533.0,,,,,,,,New,NotFound,Android 5.0.2,chrome 63.0 for android,32.0,1280x800,match_status:2,T,F,T,F,mobile,SM-T530NU Build/LRX22G
3277,3001040,0.0,117069.0,,,0.0,0.0,,,,,100.0,NotFound,,-300.0,New,NotFound,166.0,,621.0,500.0,,,,,,,,New,NotFound,iOS 11.1.2,mobile safari 11.0,32.0,2048x1536,match_status:1,T,F,T,T,mobile,iOS Device
90395,3294811,-5.0,42147.0,,,0.0,0.0,,,,,100.0,NotFound,52.0,-360.0,New,NotFound,225.0,,574.0,507.0,,,,,,,,New,NotFound,,chrome 49.0,,,,F,T,T,F,desktop,
113089,3419264,-5.0,101878.0,,,17.0,-6.0,,,,,100.0,NotFound,64.0,-300.0,New,NotFound,166.0,15.0,303.0,368.0,,,,,,,,New,NotFound,iOS 11.3.0,mobile safari generic,32.0,2208x1242,match_status:1,T,F,F,T,mobile,iOS Device
3898,3003730,-5.0,51120.0,,,24.0,-20.0,,,,,100.0,NotFound,49.0,-360.0,New,NotFound,166.0,13.0,122.0,214.0,,,,,,,,New,NotFound,iOS 11.1.2,mobile safari 11.0,32.0,2208x1242,match_status:1,T,F,F,T,mobile,iOS Device
52442,3104143,-5.0,117960.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,,266.0,507.0,,,,,,,,Found,Found,,chrome 63.0,,,,F,F,T,T,desktop,
59719,3127802,-5.0,2364.0,0.0,0.0,0.0,-9.0,,,0.0,0.0,100.0,Found,52.0,-300.0,Found,Found,166.0,15.0,352.0,500.0,,,,,,,,Found,Found,Windows 7,chrome 63.0,24.0,1366x768,match_status:2,T,F,T,T,desktop,Windows
8234,3016572,-5.0,71820.0,,,10.0,-2.0,,,,,100.0,NotFound,52.0,-300.0,New,NotFound,166.0,15.0,193.0,489.0,,,,,,,,New,NotFound,Windows 7,chrome 62.0,24.0,1024x768,match_status:2,T,F,T,F,desktop,Windows
46818,3096056,-5.0,25180.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,49.0,-300.0,Found,Found,166.0,15.0,100.0,535.0,,,,,,,,Found,Found,iOS 11.1.2,mobile safari 11.0,32.0,1334x750,match_status:1,T,F,F,F,mobile,iOS Device
27578,3061224,-5.0,183427.0,,,1.0,-1.0,,,,,100.0,NotFound,52.0,,New,NotFound,225.0,,176.0,507.0,,,,,,,,New,NotFound,,chrome 63.0,,,,F,F,T,T,desktop,Windows
130116,3515443,-10.0,101331.0,,,0.0,-1.0,1.0,-1.0,,,100.0,NotFound,64.0,-300.0,New,NotFound,166.0,13.0,183.0,256.0,834.0,14.0,IP_PROXY:TRANSPARENT,11.0,374.0,102.0,Found,New,NotFound,iOS 11.2.2,mobile safari 11.0,32.0,2208x1242,match_status:1,T,F,F,T,mobile,iOS Device
